title,description,content,publishedAt,url,FinBERT_Sentiment
"Measles outbreak in Texas: 146 cases reported, one child dead â Are low vaccination rates to blame?","Texas is experiencing its largest measles outbreak in nearly 30 years, with 146 confirmed cases and one reported child fatality. The outbreak has primarily affected an under-vaccinated rural community. Health officials are urging vaccinations as hospital admiâ¦","The Texas Department of Health and Human Services has reported a sharp increase in measles cases, marking the states worst outbreak in nearly three decades.As of Friday morning, officials confirmed 1â¦ [+3018 chars]",2025-02-28T18:14:43Z,https://economictimes.indiatimes.com/news/international/us/measles-outbreak-in-texas-146-cases-reported-one-child-dead-are-low-vaccination-rates-to-blame/articleshow/118635686.cms,negative
Lee Child on how New Zealand helped shape his success and whatâs next for Reacher,'Itâs like everybody buys a copy and then they buy two for their sheep.',"He smelled a shift coming and, as with his famous character Jack Reacher, proved he too is eager to move on.
Child turned 70 last year and has been discussing retirement for years. And why not? Hes â¦ [+7013 chars]",2025-02-28T18:00:00Z,https://www.nzherald.co.nz/lifestyle/lee-child-on-how-new-zealand-helped-shape-his-success-and-whats-next-for-reacher/THFQ3YPRKBBPBKEQQRTDWVAQXM/,neutral
RBIâs FX swap auction sees strong demand as system liquidity deficit persists,"RBI's recent $10 billion dollar/rupee swap auction highlighted strong demand amid significant liquidity deficits.&nbsp;With the rupee facing depreciation pressures, experts suggest RBI may need to implement further measures, including long-term swaps, to enhaâ¦","Mumbai: The Reserve Bank of India today saw strong demand its foreign currency buy/sell swap auction amid persistently tight liquidity deficit in the banking system.
The central bank auctioned threeâ¦ [+3282 chars]",2025-02-28T17:57:49Z,https://www.livemint.com/industry/banking/rbis-fx-swap-auction-sees-strong-demand-as-system-liquidity-deficit-persists-11740754309628.html,positive
Nowhere to Run,"Juan Camilo HernÃ¡ndez was born in Caldono, in south-west Colombia, in 1977. When he was sixteen he took part in a day of collective work (minga) with...","Juan Camilo HernÃ¡ndez was born in Caldono, in south-west Colombia, in 1977. When he was sixteen he took part in a day of collective work (minga) with the Nasa Indigenous people. A commission from theâ¦ [+5315 chars]",2025-02-28T17:57:21Z,https://www.lrb.co.uk/blog/2025/february/nowhere-to-run,neutral
Take the Money and Run: Citigroup Accidentally Transferred $81 *Trillion* into a Customer's Account,"Citigroup accidentally credited a client's account with a staggering $81 trillion last April, a blunder that could hamper the bank's efforts to convince regulators it has addressed longstanding operational deficiencies.
The post Take the Money and Run: Citigrâ¦","Citigroup accidentally credited a clientâs account with a staggering $81 trillion last April, a blunder that could hamper the bankâs efforts to convince regulators it has addressed longstanding operaâ¦ [+2737 chars]",2025-02-28T17:45:05Z,https://www.breitbart.com/tech/2025/02/28/take-the-money-and-run-citigroup-accidentally-transferred-81-trillion-into-a-customers-account/,negative
"When is the next Leap Day? Check year, celebrity birthdays and how to calculate age if you are born in a Leap Year","A Leap Year happens every four years. Since 2025 is not a Leap Year, people born on Leap Day will only get to celebrate their birthday officially in 2028. If you want to check whether a particular year is a Leap Year, you need to see if the number is completeâ¦",The month of February gets an extra day once every four years. People whose birthdays fall on February 29 get to celebrate their special day only when a Leap Year comes around.Since 2025 is not a Leaâ¦ [+2585 chars],2025-02-28T17:40:37Z,https://economictimes.indiatimes.com/news/international/us/when-is-the-next-leap-day-check-year-celebrity-birthdays-and-how-to-calculate-age-if-you-are-born-in-a-leap-year/articleshow/118634963.cms,neutral
Alkami is buying fintech Mantl for $400 million,"Digital banking services provider Alkami Technology is acquiring Mantl, which has been described as âthe Shopify of account opening,â for $400 million.
Mantl, founded in 2016 by Nathaniel Harley and Benjamin Conant, developed software to make it easier for peâ¦","Digital banking services provider Alkami Technology is acquiring Mantl, which has been described as the Shopify of account opening, for $400 million.Mantl, founded in 2016 by Nathaniel Harley and Benâ¦ [+138 chars]",2025-02-28T17:21:44Z,https://biztoc.com/x/21f802af6ddea086,neutral
Alkami is buying fintech Mantl for $400 million | TechCrunch,"Digital banking services provider Alkami Technology is acquiring Mantl, which has been described as âthe Shopify of account opening,â for $400 million.","Digital banking services provider Alkami Technology is acquiring Mantl, which has been described as the Shopify of account opening, for $400 million.
Mantl, founded in 2016 by Nathaniel Harley and Bâ¦ [+1753 chars]",2025-02-28T17:21:00Z,https://techcrunch.com/2025/02/28/alkami-is-buying-fintech-mantl-for-400-million/,neutral
FinovateEurope 2025: AI Agents Dominate,"Read this blog for Forrester's take on FinovateEurope 2025: What's hot, and what's not.","FinovateEurope took place in London again this week and I was lucky enough to attend. This year marked my 12th Finovate anniversary, making me something of a veteran (or a diehard fan!). Over the yeaâ¦ [+4083 chars]",2025-02-28T17:01:18Z,https://www.forrester.com/blogs/finovateeurope-2025-ai-agents-dominate/,neutral
ZeroNorth secures $20m financing to drive maritime tech growth,"In This Article:
CIBC Innovation Banking has provided a $20m debt financing package to maritime technology consolidator ZeroNorth.
ZeroNorth is planning to use the funding to bolster its growth through strategic mergers and acquisitions, which are expected toâ¦",In This Article:CIBC Innovation Banking has provided a $20m debt financing package to maritime technology consolidator ZeroNorth.ZeroNorth is planning to use the funding to bolster its growth throughâ¦ [+147 chars],2025-02-28T16:57:54Z,https://biztoc.com/x/9a542b6b63ed96f2,positive
$10 bn Swap auction by RBI gets healthy response,"RBI conducts successful $10 billion USD/INR swap auction, injecting liquidity into banks amidst Rupee depreciation and global uncertainties.",The Reserve Bank of India (RBI) received a healthy response to the $10 billion US Dollar (USD)/ Indian Rupee (INR) buy/sell swap auction of three years tenor it conducted on Friday. The auction was oâ¦ [+2752 chars],2025-02-28T16:56:03Z,https://www.thehindubusinessline.com/money-and-banking/rbi-conducts-successful-10-billion-usdinr-swap-auction-injecting-liquidity-into-banks-amidst-rupee-depreciation-and-global-uncertainties/article69275746.ece,positive
Ivan Timofeev: Hereâs why US sanctions canât ruin Russia-India trade relations,Indian businesses are concerned about the risks of US and other Western nationsâ secondary sanctions. How valid are these fears? Read Full Article at RT.com,"By Ivan Timofeev, programme director of the Valdai Club.One of the primary goals of the extensive sanctions imposed on Russia by the West following the start of Russiaâs offensive in Ukraine was to iâ¦ [+7875 chars]",2025-02-28T16:51:50Z,https://www.rt.com/india/613446-sanctions-against-russia-risks-for-india/,negative
One Of Americaâs Biggest Banks Almost Accidentally Deposited $81 Trillion In A Customerâs Account,"Itâs only natural banks are going to make some mistakes given the number of transactions they handle on a daily basis. However, Citigroup narrowly avoided a potential catastrophe after an error almost led to a customer receiving an $81 trillion deposit insteaâ¦","Jack Gruber / USA TODAY NETWORK
Itâs only natural banks are going to make some mistakes given the number of transactions they handle on a daily basis. However, Citigroup narrowly avoided a potentialâ¦ [+1983 chars]",2025-02-28T16:37:16Z,https://brobible.com/culture/article/citigroup-81-trillion-dollar-deposit-error/,negative
Internecine Interstices of Geopolitics and Gold: The Profound Stuff of Real History,"The relationship between gold and war is intricate and multifaceted, shaped by historical, economic, and political factors. From its use as plunder and tribute in ancient times to its role in financing modern conflicts and stabilizing economies, gold has beenâ¦","https://www.lewrockwell.com/lrc-blog/internecine-interstices-of-geopolitics-and-gold-the-profound-stuff-of-real-history/
The relationship between gold and war is intricate and multifaceted, shaped bâ¦ [+1019 chars]",2025-02-28T16:33:08Z,https://www.lewrockwell.com/lrc-blog/internecine-interstices-of-geopolitics-and-gold-the-profound-stuff-of-real-history/,neutral
Shrek 5 teaser sparks fan fury: Is the O.G. ogre lost in 'soulless 3D slop'? AI makeover sparks outrage,"DreamWorks will release Shrek 5 in December next year, but fans criticize the new animation style. The characters' glossy and smooth designs have sparked outrage on social media. Despite some support for the modern look, many lament the loss of the franchise'â¦","The beloved green ogre is making a comeback, but fans are not exactly welcoming him with open arms. DreamWorks' highly anticipated Shrek 5, set to hit screens in December next year, has already ignitâ¦ [+2740 chars]",2025-02-28T16:15:53Z,https://economictimes.indiatimes.com/magazines/panache/shrek-5-teaser-sparks-fan-fury-is-the-o-g-ogre-lost-in-soulless-3d-slop-ai-makeover-sparks-outrage/articleshow/118633385.cms,neutral
Banksâ non-food credit growth slows to 12.5% in Jan,"Non-food credit growth in banking system slows to 12.5% yoy in January 2025, but at three-month high.","The banking systems non-food credit growth slowed in January 2025 to 12.5 per cent year-on-year as compared with16.2 per cent in the year ago period. 
This is due to moderation in credit growth in sâ¦ [+1324 chars]",2025-02-28T15:52:18Z,https://www.thehindubusinessline.com/money-and-banking/banks-non-food-credit-growth-slows-to-125-in-jan/article69275938.ece,negative
"Taylor Swift becomes the richest female musician with $1.6-billion net worth, surpassing Rihanna","Riding high on the major success of her Eras Tour, singer Taylor Swift currently is the richest female musician with a total net worth of $1.6 billion. She left behind Rihanna in October last year. She holds $600 million from tours and royalties, besides musiâ¦","Pop sensation Taylor Swift, who is currently dating Kansas City Chiefs tight end Travis Kelce, currently holds the title for the richest female musician.The 35-year-old recently witnessed the blockbuâ¦ [+2928 chars]",2025-02-28T15:51:32Z,https://economictimes.indiatimes.com/news/international/us/taylor-swift-becomes-the-richest-female-musician-with-1-6-billion-net-worth-surpassing-rihanna/articleshow/118633224.cms,neutral
Costco gold: Everything to know about buying the metal at the retail chain,"Costco offers physical gold bars and coins, but weigh the pros and cons before buying from the retailer.","It's important to know the benefits and downsides of buying gold from Costco before making that move.
Getty Images/iStockphoto
Americans are increasingly turning to gold for stability as economic uâ¦ [+5559 chars]",2025-02-28T15:46:31Z,https://www.cbsnews.com/news/costco-gold-everything-to-know-about-buying-the-metal-at-the-retail-chain/,neutral
Mastering Derivatives: Betting on index futures,Learn the benefits and drawbacks of trading index futures versus single-stock futures for optimal trading strategies.,"Previously, in this column, we discussed our preferred pecking order for trading derivatives. We showed that it is optimal to first start trading index futures, then single-stock futures followed by â¦ [+2815 chars]",2025-02-28T15:44:44Z,https://www.thehindubusinessline.com/portfolio/commodity-analysis/mastering-derivatives-betting-on-index-futures/article69269636.ece,neutral
Central bank says Revolut needs licence to do business in Ukraine,Ukraine's central bank says that Revolut does not have a licence to operate in the country despite the London-based fintech's announcement earlier this month that residents can now open accounts.,Ukraine's central bank says that Revolut does not have a licence to operate in the country despite the London-based fintech's announcement earlier this month that residents can now open accounts.In Eâ¦ [+2338 chars],2025-02-28T15:37:00Z,https://www.finextra.com/newsarticle/45584/central-bank-says-revolut-needs-licence-to-do-business-in-ukraine,neutral
"Good news, everybody. Officials in Washington, D.C. have shut down over two dozen criminal storefronts who were poisoning the city by illegally selling marijuana. Don't you feel safer now? [Facepalm]","Good news, everybody. Officials in Washington, D.C. have shut down over two dozen criminal storefronts who were poisoning the city by illegally selling marijuana. Don't you feel safer now?","paulleah:Stuff needs to be either legal or illegal. This wink wink nod nod crap sucks.
Alcohol is legal but, if I open an unlicensed bar or liqueur store, no one will be surprised when it gets shut â¦ [+1026 chars]",2025-02-28T15:35:06Z,https://www.fark.com/comments/13579640/Good-news-everybody-Officials-in-Washington-DC-have-shut-down-over-two-dozen-criminal-storefronts-who-were-poisoning-city-by-illegally-selling-marijuana-Dont-you-feel-safer-now,negative
Trumpâs CFPB Drops Cases Against Companies Accused of Cheating Consumers,"The companies are accused of ripping off savings account holders, illegally collecting on student loans, and more.","Consumer advocates on Thursday slammed the Trump administration for dropping various enforcement actions against companies accused of activities that include ripping off savings account holders, illeâ¦ [+9134 chars]",2025-02-28T15:32:57Z,https://www.commondreams.org/news/cfpb-director-trump,negative
Questionable claims pile up as Conservatives go on attack against 'sneaky' Mark Carney,"Conservatives went back on the attack against Mark Carney on Thursday, releasing a short digital ad saying Carney ""sold out Canada.""","It's not the first time Carney has made a dubious claim about his work history
Mark Carney gestures during a press conference following the second night of debate in the federal Liberal leadership râ¦ [+9577 chars]",2025-02-28T15:25:26Z,https://nationalpost.com/news/canada/questionable-claims-pile-up-conservatives-attack-mark-carney,neutral
